LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,PSG.LGD.STeven L2i,3,0.000,0.000,0.000,0.000
1,PSG.LGD.STeven L2i,5,20.008,31.220,20.932,1:12.160
2,PSG.LGD.STeven L2i,5,16.681,30.307,20.360,1:07.348
3,PSG.LGD.STeven L2i,5,16.462,29.941,20.767,1:07.170
4,PSG.LGD.STeven L2i,4,16.518,29.818,20.372,1:06.708
5,PSG.LGD.STeven L2i,4,16.376,30.263,20.577,1:07.216
6,PSG.LGD.STeven L2i,3,16.429,29.940,20.525,1:06.894
7,PSG.LGD.STeven L2i,2,16.374,29.840,20.327,1:06.541
8,PSG.LGD.STeven L2i,3,16.771,30.349,20.787,1:07.907
9,PSG.LGD.STeven L2i,2,16.442,29.981,20.491,1:06.914
10,PSG.LGD.STeven L2i,2,16.797,30.056,20.481,1:07.334
11,PSG.LGD.STeven L2i,2,16.722,30.039,20.534,1:07.295
12,PSG.LGD.STeven L2i,2,16.780,30.237,20.559,1:07.576
13,PSG.LGD.STeven L2i,2,16.912,30.146,20.513,1:07.571
14,PSG.LGD.STeven L2i,8,16.884,30.811,23.715,1:11.410
15,PSG.LGD.STeven L2i,14,31.761,29.845,20.125,1:21.731
16,PSG.LGD.STeven L2i,12,16.579,29.363,20.111,1:06.053
17,PSG.LGD.STeven L2i,11,16.519,29.799,20.184,1:06.502
18,PSG.LGD.STeven L2i,11,16.718,29.922,20.167,1:06.807
19,PSG.LGD.STeven L2i,11,16.680,29.733,20.193,1:06.606
20,PSG.LGD.STeven L2i,8,16.551,29.789,20.170,1:06.510
21,PSG.LGD.STeven L2i,5,16.673,29.864,20.186,1:06.723
22,PSG.LGD.STeven L2i,2,16.766,29.710,20.237,1:06.713
23,PSG.LGD.STeven L2i,2,16.804,30.042,20.300,1:07.146
24,PSG.LGD.STeven L2i,3,16.696,30.260,20.191,1:07.147
25,PSG.LGD.STeven L2i,3,16.500,30.277,20.517,1:07.294
26,PSG.LGD.STeven L2i,3,16.270,29.934,20.050,1:06.254
27,PSG.LGD.STeven L2i,3,16.285,29.947,20.134,1:06.366
28,PSG.LGD.STeven L2i,3,16.279,29.720,20.219,1:06.218
29,PSG.LGD.STeven L2i,3,16.447,29.908,20.146,1:06.501
30,PSG.LGD.STeven L2i,3,16.411,29.809,20.129,1:06.349
31,PSG.LGD.STeven L2i,3,16.563,29.682,20.235,1:06.480
32,PSG.LGD.STeven L2i,3,16.346,29.859,20.243,1:06.448
33,PSG.LGD.STeven L2i,3,16.400,30.261,20.165,1:06.826
34,PSG.LGD.STeven L2i,3,16.416,29.978,20.243,1:06.637
35,PSG.LGD.STeven L2i,3,16.049,30.007,20.182,1:06.238
36,PSG.LGD.STeven L2i,3,16.247,30.109,20.252,1:06.608
37,PSG.LGD.STeven L2i,3,0.000,0.000,0.000,0.013
