frame,curTime,name,Position,curLapNum,curLapTime,LapDistance,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
22395,2022/4/22 20:21,h0,1,2,3.152,241,0,0,1,0,7,11697,0,0,0,0
22397,2022/4/22 20:21,h0,1,2,3.254,249.282,0,0,1,0,7,11727,0,0,0,0
22399,2022/4/22 20:21,h0,1,2,3.305,253.459,0,0,1,0,7,11733,0,0,0,0
22400,2022/4/22 20:21,h0,1,2,3.356,257.707,0,0,1,0,7,11741,0,0,0,0
22401,2022/4/22 20:21,h0,1,2,3.41,261.982,0,0,1,0,7,11747,0,0,0,0
22402,2022/4/22 20:21,h0,1,2,3.461,266.212,0,0,1,0,8,10434,0,0,0,0
22403,2022/4/22 20:21,h0,1,2,3.515,270.486,0,0,1,0,8,10215,0,0,0,0
22405,2022/4/22 20:21,h0,1,2,3.567,274.762,0,0,1,0,8,10214,0,0,0,0
22406,2022/4/22 20:21,h0,1,2,3.62,279.061,0,0,1,0,8,10213,0,0,0,0
22407,2022/4/22 20:21,h0,1,2,3.672,283.383,0,0,1,0,8,10211,0,0,0,0
22408,2022/4/22 20:21,h0,1,2,3.725,287.579,0,0,1,0,8,10213,0,0,0,0
22410,2022/4/22 20:21,h0,1,2,3.778,291.923,0,0,1,0,8,10220,0,0,0,0
22411,2022/4/22 20:21,h0,1,2,3.831,296.202,0,0,1,0,8,10228,0,0,0,0
22412,2022/4/22 20:21,h0,1,2,3.884,300.603,0,0,1,0,8,10239,0,0,0,0
22414,2022/4/22 20:21,h0,1,2,3.993,309.415,0,0,1,0,8,10258,0,0,0,0
22416,2022/4/22 20:21,h0,1,2,4.093,318.158,0,0,1,0,8,10280,0,0,0,0
22417,2022/4/22 20:21,h0,1,2,4.148,322.194,0,0,1,0,8,10291,0,0,0,0
22418,2022/4/22 20:21,h0,1,2,4.201,326.442,0,0.013502,1,0,8,10297,0,0,0,0
22419,2022/4/22 20:21,h0,1,2,4.252,330.65,0,0.033431,1,0,8,10294,0,0,0,0
22421,2022/4/22 20:21,h0,1,2,4.305,335.318,0,0.053803,1,0,8,10289,0,0,0,0
22422,2022/4/22 20:21,h0,1,2,4.362,339.857,0,0.069218,1,0,8,10282,0,0,0,0
22423,2022/4/22 20:21,h0,1,2,4.418,344.284,0,0.080272,1,0,8,10284,0,0,0,0
22425,2022/4/22 20:21,h0,1,2,4.527,353.201,0,0.09375,1,0,8,10298,0,0,0,0
22426,2022/4/22 20:21,h0,1,2,4.579,357.444,0,0.09375,1,0,8,10299,0,0,0,0
22427,2022/4/22 20:21,h0,1,2,4.631,361.75,0,0.09375,1,0,8,10302,0,0,0,0
22428,2022/4/22 20:21,h0,1,2,4.685,366.038,0,0.09375,1,0,8,10309,0,0,0,0
22429,2022/4/22 20:21,h0,1,2,4.737,370.161,0,0.09375,1,0,8,10294,0,0,0,0
22431,2022/4/22 20:21,h0,1,2,4.788,374.342,0,0.09375,1,0,8,10278,0,0,0,0
22432,2022/4/22 20:21,h0,1,2,4.841,378.621,0,0.09375,1,0,8,10267,0,0,0,0
22433,2022/4/22 20:21,h0,1,2,4.893,382.846,0,0.109143,1,0,8,10269,0,0,0,0
22434,2022/4/22 20:21,h0,1,2,4.944,386.926,0,0.119347,1,0,8,10277,0,0,0,0
22435,2022/4/22 20:21,h0,1,2,4.997,391.045,0,0.119783,1,0,8,10290,0,0,0,0
22436,2022/4/22 20:21,h0,1,2,5.047,395.043,0,0.109107,1,0,8,10285,0,0,0,0
22437,2022/4/22 20:21,h0,1,2,5.1,399.075,0,0.097889,1,0,8,10279,0,0,0,0
22438,2022/4/22 20:21,h0,1,2,5.152,403.164,0,0.09375,1,0,8,10275,0,0,0,0
22439,2022/4/22 20:21,h0,1,2,5.204,407.16,0,0.077678,1,0,8,10271,0,0,0,0
22440,2022/4/22 20:21,h0,1,2,5.255,411.673,0,0.067811,1,0,8,10269,0,0,0,0
22442,2022/4/22 20:21,h0,1,2,5.308,416.399,0,0.072983,1,0,8,10271,0,0,0,0
22443,2022/4/22 20:21,h0,1,2,5.36,421.253,0,0.09525,1,0,8,10266,0,0,0,0
22445,2022/4/22 20:21,h0,1,2,5.464,431.213,0,0.125,1,0,8,10263,0,0,0,0
22446,2022/4/22 20:21,h0,1,2,5.516,436.084,0,0.125,1,0,8,10262,0,0,0,0
22447,2022/4/22 20:21,h0,1,2,5.569,441.052,0,0.125,1,0,8,10270,0,0,0,0
22449,2022/4/22 20:21,h0,1,2,5.672,450.157,0,0.125,1,0,8,10254,0,0,0,0
22450,2022/4/22 20:21,h0,1,2,5.724,454.649,0,0.125,1,0,8,10253,0,0,0,0
22451,2022/4/22 20:21,h0,1,2,5.776,458.992,0,0.125,1,0,8,10255,0,0,0,0
22452,2022/4/22 20:21,h0,1,2,5.828,463.247,0,0.125,1,0,8,10232,0,0,0,0
22453,2022/4/22 20:21,h0,1,2,5.88,467.522,0,0.125,1,0,8,10211,0,0,0,0
22454,2022/4/22 20:21,h0,1,2,5.933,471.819,0,0.125,1,0,8,10197,0,0,0,0
22455,2022/4/22 20:21,h0,1,2,5.986,476.131,0,0.125,1,0,8,10185,0,0,0,0
22456,2022/4/22 20:21,h0,1,2,6.038,480.259,0,0.125,1,0,8,10184,0,0,0,0
22458,2022/4/22 20:21,h0,1,2,6.141,488.744,0,0.106073,1,0,8,10169,0,0,0,0
