frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
2979,2022/3/25 20:05,Kimi810,16,1,2.75,0,-0.127296,0,0.932908,4,11359,0,0,1,0
2980,2022/3/25 20:05,Kimi810,16,1,2.799,0,-0.145971,0,0.895558,4,11110,0,0,1,0
2981,2022/3/25 20:05,Kimi810,16,1,2.799,0,-0.187466,0,0.800081,4,10762,0,0,1,0
2982,2022/3/25 20:05,Kimi810,16,1,2.906,0,-0.233437,0,0.689751,4,10538,0,0,1,0
2983,2022/3/25 20:05,Kimi810,16,1,2.968,0,-0.293562,0,0.545451,4,10320,0,0,1,0
2984,2022/3/25 20:05,Kimi810,16,1,3.017,0,-0.3125,0,0.466102,4,10135,0,0,1,0
2986,2022/3/25 20:05,Kimi810,16,1,3.076,0,-0.3125,0,0.396861,4,9909,0,0,1,0
2987,2022/3/25 20:05,Kimi810,16,1,3.124,0,-0.3125,0,0.341616,4,9746,0,0,1,0
2988,2022/3/25 20:05,Kimi810,16,1,3.184,0,-0.31921,0,0.28566,3,10288,0,0,1,0
2989,2022/3/25 20:05,Kimi810,16,1,3.23,0,-0.328157,0,0.249871,3,11050,0,0,1,0
2990,2022/3/25 20:05,Kimi810,16,1,3.289,0,-0.339595,0,0.204118,3,11251,0,0,1,0
2991,2022/3/25 20:05,Kimi810,16,1,3.335,0,-0.34375,0,0.158765,3,11202,0,0,1,0
2992,2022/3/25 20:05,Kimi810,16,1,3.396,0,-0.34375,0,0.088342,3,11102,0,0,1,0
2993,2022/3/25 20:05,Kimi810,16,1,3.443,0,-0.34375,0,0.033447,3,11022,0,0,1,0
2994,2022/3/25 20:05,Kimi810,16,1,3.502,0,-0.349555,0,0,3,10936,0,0,1,0
2995,2022/3/25 20:05,Kimi810,16,1,3.546,0,-0.358065,0,0,3,10861,0,0,1,0
2997,2022/3/25 20:05,Kimi810,16,1,3.602,0,-0.368752,0,0,3,10769,0,0,1,0
2998,2022/3/25 20:05,Kimi810,16,1,3.646,0,-0.375,0,0,3,10703,0,0,1,0
2999,2022/3/25 20:05,Kimi810,16,1,3.703,0,-0.375,0,0,3,10642,0,0,1,0
3000,2022/3/25 20:05,Kimi810,16,1,3.748,0,-0.375,0,0,3,10607,0,0,1,0
3001,2022/3/25 20:05,Kimi810,16,1,3.806,0,-0.372765,0.031294,0,3,10593,0,0,1,0
3002,2022/3/25 20:05,Kimi810,16,1,3.851,0,-0.363624,0.159262,0,3,10625,0,0,1,0
3003,2022/3/25 20:05,Kimi810,16,1,3.909,0,-0.352039,0.321451,0,3,10665,0,0,1,0
3004,2022/3/25 20:05,Kimi810,16,1,3.953,0,-0.342393,0.438857,0,3,10872,0,0,1,0
3005,2022/3/25 20:05,Kimi810,16,1,4.006,0,-0.320193,0.461057,0,3,10846,0,0,1,0
3006,2022/3/25 20:05,Kimi810,16,1,4.057,0,-0.298974,0.482276,0,3,10913,0,0,1,0
3008,2022/3/25 20:05,Kimi810,16,1,4.116,0,-0.277985,0.5,0,3,10999,0,0,1,0
3009,2022/3/25 20:05,Kimi810,16,1,4.167,0,-0.26784,0.5,0,3,11075,0,0,1,0
3010,2022/3/25 20:05,Kimi810,16,1,4.22,0,-0.257272,0.5,0,3,11144,0,0,1,0
3011,2022/3/25 20:05,Kimi810,16,1,4.274,0,-0.243155,0.486309,0,3,11210,0,0,1,0
3012,2022/3/25 20:05,Kimi810,16,1,4.329,0,-0.221455,0.442911,0,3,11163,0,0,1,0
3013,2022/3/25 20:05,Kimi810,16,1,4.384,0,-0.199384,0.398768,0,3,11166,0,0,1,0
3014,2022/3/25 20:05,Kimi810,16,1,4.44,0,-0.167433,0.314798,0.160538,2,12038,0,0,1,0
