frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
20696,2022/3/25 20:19,h0,1,4,2.923,0,-0.21875,0,0.5,4,10436,0,0,0,0
20697,2022/3/25 20:19,h0,1,4,2.981,0,-0.243325,0,0.401699,4,10188,0,0,0,0
20698,2022/3/25 20:19,h0,1,4,3.029,0,-0.253427,0,0.368147,4,10017,0,0,0,0
20700,2022/3/25 20:19,h0,1,4,3.091,0,-0.267388,0,0.340223,4,9795,0,0,0,0
20701,2022/3/25 20:19,h0,1,4,3.139,0,-0.278076,0,0.318848,4,9640,0,0,0,0
20702,2022/3/25 20:19,h0,1,4,3.198,0,-0.28125,0,0.3125,4,9441,0,0,0,0
20703,2022/3/25 20:19,h0,1,4,3.245,0,-0.302083,0,0.270834,4,9331,0,0,0,0
20704,2022/3/25 20:19,h0,1,4,3.305,0,-0.3125,0,0.25,4,9213,0,0,0,0
20706,2022/3/25 20:19,h0,1,4,3.353,0,-0.3125,0,0.25,4,9113,0,0,0,0
20707,2022/3/25 20:19,h0,1,4,3.411,0,-0.338878,0,0.25,4,8926,0,0,0,0
20708,2022/3/25 20:19,h0,1,4,3.458,0,-0.349272,0,0.238957,4,8784,0,0,0,0
20709,2022/3/25 20:19,h0,1,4,3.517,0,-0.362292,0,0.212916,4,8671,0,0,0,0
20710,2022/3/25 20:19,h0,1,4,3.562,0,-0.372213,0,0.193074,4,8555,0,0,0,0
20711,2022/3/25 20:19,h0,1,4,3.622,0,-0.375,0.020261,0.126717,4,8495,0,0,0,0
20712,2022/3/25 20:19,h0,1,4,3.669,0,-0.375,0.040611,0.065668,4,8424,0,0,0,0
20713,2022/3/25 20:19,h0,1,4,3.728,0,-0.379969,0.092317,0,4,8408,0,0,0,0
20714,2022/3/25 20:19,h0,1,4,3.766,0,-0.402336,0.226518,0,4,8434,0,0,0,0
20715,2022/3/25 20:19,h0,1,4,3.82,0,-0.434112,0.417169,0,4,8526,0,0,0,0
20717,2022/3/25 20:19,h0,1,4,3.874,0,-0.423141,0.494934,0,4,8808,0,0,0,0
20718,2022/3/25 20:19,h0,1,4,3.924,0,-0.407957,0.55567,0,4,8780,0,0,0,0
20719,2022/3/25 20:19,h0,1,4,3.976,0,-0.40625,0.589346,0,4,8862,0,0,0,0
