frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
22071,2022/3/25 20:21,wofa.bilibili,6,2,2.703,0,-0.15625,0,0.535971,3,12146,0,0,0,0
22072,2022/3/25 20:21,wofa.bilibili,6,2,2.752,0,-0.15625,0,0.5,3,12341,0,0,0,0
22073,2022/3/25 20:21,wofa.bilibili,6,2,2.811,0,-0.169283,0,0.473933,3,12323,0,0,0,0
22074,2022/3/25 20:21,wofa.bilibili,6,2,2.859,0,-0.179076,0,0.454347,3,12094,0,0,0,0
22075,2022/3/25 20:21,wofa.bilibili,6,2,2.917,0,-0.197304,0,0.430964,3,11867,0,0,0,0
22076,2022/3/25 20:21,wofa.bilibili,6,2,2.965,0,-0.226975,0,0.411184,3,11644,0,0,0,0
22077,2022/3/25 20:21,wofa.bilibili,6,2,3.024,0,-0.262857,0,0.387262,3,11396,0,0,0,0
22079,2022/3/25 20:21,wofa.bilibili,6,2,3.074,0,-0.288936,0,0.375,3,11181,0,0,0,0
22080,2022/3/25 20:21,wofa.bilibili,6,2,3.074,0,-0.31287,0,0.375,3,10919,0,0,0,0
22081,2022/3/25 20:21,wofa.bilibili,6,2,3.183,0,-0.332309,0,0.375,3,10707,0,0,0,0
22082,2022/3/25 20:21,wofa.bilibili,6,2,3.242,0,-0.34375,0,0.351244,3,10464,0,0,0,0
22083,2022/3/25 20:21,wofa.bilibili,6,2,3.292,0,-0.34375,0,0.311228,3,10234,0,0,0,0
22084,2022/3/25 20:21,wofa.bilibili,6,2,3.35,0,-0.34375,0,0.264184,3,10089,0,0,0,0
22085,2022/3/25 20:21,wofa.bilibili,6,2,3.399,0,-0.350086,0,0.211982,3,9942,0,0,0,0
22086,2022/3/25 20:21,wofa.bilibili,6,2,3.459,0,-0.362184,0,0.139399,3,9769,0,0,0,0
22087,2022/3/25 20:21,wofa.bilibili,6,2,3.508,0,-0.372228,0,0.079132,3,9706,0,0,0,0
22089,2022/3/25 20:21,wofa.bilibili,6,2,3.567,0,-0.375,0.019467,0.043033,3,9624,0,0,0,0
22090,2022/3/25 20:21,wofa.bilibili,6,2,3.617,0,-0.375,0.040447,0.022053,3,9601,0,0,0,0
22091,2022/3/25 20:21,wofa.bilibili,6,2,3.677,0,-0.375,0.073457,0,3,9575,0,0,0,0
22092,2022/3/25 20:21,wofa.bilibili,6,2,3.717,0,-0.375,0.124866,0,3,9561,0,0,0,0
22093,2022/3/25 20:21,wofa.bilibili,6,2,3.776,0,-0.375,0.201614,0,3,9610,0,0,0,0
22094,2022/3/25 20:21,wofa.bilibili,6,2,3.827,0,-0.375,0.26144,0,3,9677,0,0,0,0
