frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
51,25/3/22 20:20,Siesta siesta,11,4,2.726,0,-0.279862,0,0.375,3,11680,0,0,0,0
52,25/3/22 20:20,Siesta siesta,11,4,2.775,0,-0.324544,0,0.375,3,11468,0,0,0,0
53,25/3/22 20:20,Siesta siesta,11,4,2.833,0,-0.376508,0,0.373492,3,11200,0,0,0,0
54,25/3/22 20:20,Siesta siesta,11,4,2.884,0,-0.398486,0,0.351514,3,10986,0,0,0,0
55,25/3/22 20:20,Siesta siesta,11,4,2.935,0,-0.420929,0,0.329071,3,10777,0,0,0,0
56,25/3/22 20:20,Siesta siesta,11,4,2.985,0,-0.443004,0,0.290486,3,10579,0,0,0,0
57,25/3/22 20:20,Siesta siesta,11,4,3.038,0,-0.46599,0,0.19854,3,10406,0,0,0,0
58,25/3/22 20:20,Siesta siesta,11,4,3.089,0,-0.488378,0,0.108986,3,10259,0,0,0,0
59,25/3/22 20:20,Siesta siesta,11,4,3.139,0,-0.505154,0,0.052192,3,10150,0,0,0,0
60,25/3/22 20:20,Siesta siesta,11,4,3.189,0,-0.515808,0,0.030885,3,10099,0,0,0,0
61,25/3/22 20:20,Siesta siesta,11,4,3.242,0,-0.527171,0,0.008159,3,10074,0,0,0,0
62,25/3/22 20:20,Siesta siesta,11,4,3.293,0,-0.53125,0.040157,0,3,10090,0,0,0,0
63,25/3/22 20:20,Siesta siesta,11,4,3.344,0,-0.53125,0.104702,0,3,10085,0,0,0,0
64,25/3/22 20:20,Siesta siesta,11,4,3.396,0,-0.53125,0.171359,0,3,10094,0,0,0,0
65,25/3/22 20:20,Siesta siesta,11,4,3.454,0,-0.53125,0.243944,0,3,10111,0,0,0,0
66,25/3/22 20:20,Siesta siesta,11,4,3.501,0,-0.53125,0.303345,0,3,10111,0,0,0,0
67,25/3/22 20:20,Siesta siesta,11,4,3.555,0,-0.53125,0.370816,0,3,10147,0,0,0,0
