frame,curTime,name,Position,curLapNum,curLapTime,LapDistance,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
21470,2022/4/22 20:20,NTR.zbk,4,2,3.293,249.766,0,0,1,0,8,10151,0,0,0,0
21472,2022/4/22 20:20,NTR.zbk,4,2,3.293,249.766,0,0,1,0,8,10152,0,0,0,0
21473,2022/4/22 20:20,NTR.zbk,4,2,3.293,249.766,0,0,1,0,8,10159,0,0,0,0
21475,2022/4/22 20:20,NTR.zbk,4,2,3.503,266.683,0,0,1,0,8,10196,0,0,0,0
21476,2022/4/22 20:20,NTR.zbk,4,2,3.551,270.652,0,0,1,0,8,10200,0,0,0,0
21477,2022/4/22 20:20,NTR.zbk,4,2,3.607,275.279,0,0,1,0,8,10197,0,0,0,0
21478,2022/4/22 20:20,NTR.zbk,4,2,3.654,279.176,0,0,1,0,8,10198,0,0,0,0
21479,2022/4/22 20:20,NTR.zbk,4,2,3.711,283.649,0,0,1,0,8,10198,0,0,0,0
21480,2022/4/22 20:20,NTR.zbk,4,2,3.759,287.603,0,0,1,0,8,10206,0,0,0,0
21481,2022/4/22 20:20,NTR.zbk,4,2,3.815,292.188,0,0,1,0,8,10248,0,0,0,0
21483,2022/4/22 20:20,NTR.zbk,4,2,3.864,296.082,0,0,1,0,8,10262,0,0,0,0
21484,2022/4/22 20:20,NTR.zbk,4,2,3.913,300.136,0,0,1,0,8,10268,0,0,0,0
21485,2022/4/22 20:20,NTR.zbk,4,2,3.97,304.821,0,0,1,0,8,10270,0,0,0,0
21486,2022/4/22 20:20,NTR.zbk,4,2,4.018,308.846,0,0,1,0,8,10270,0,0,0,0
21487,2022/4/22 20:20,NTR.zbk,4,2,4.069,312.888,0,0,1,0,8,10272,0,0,0,0
21488,2022/4/22 20:20,NTR.zbk,4,2,4.118,316.989,0,0,1,0,8,10289,0,0,0,0
21489,2022/4/22 20:20,NTR.zbk,4,2,4.176,321.61,0,0,1,0,8,10307,0,0,0,0
21490,2022/4/22 20:20,NTR.zbk,4,2,4.226,325.727,0,0.03125,1,0,8,10312,0,0,0,0
